,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,threshold
302,1.0,5.0,141.0,30870.0,36800.0,401.0,368.0,83.88586956521739,16.57608695652174,61.0,0.54
307,1.0,5.0,142.0,27830.0,36100.0,401.0,361.0,77.09141274238227,15.789473684210526,57.0,0.54
312,1.0,5.0,143.0,28460.0,36100.0,401.0,361.0,78.83656509695291,16.06648199445983,58.0,0.54
317,1.0,5.0,144.0,26950.0,34100.0,401.0,341.0,79.03225806451613,16.129032258064516,55.0,0.54
322,1.0,5.0,145.0,24510.0,31100.0,401.0,311.0,78.81028938906752,16.39871382636656,51.0,0.54
327,1.0,5.0,146.0,26310.0,32600.0,401.0,326.0,80.70552147239263,16.56441717791411,54.0,0.54
332,1.0,5.0,147.0,26100.0,32400.0,401.0,324.0,80.55555555555556,16.358024691358025,53.0,0.54
337,1.0,5.0,148.0,22960.0,29700.0,401.0,297.0,77.3063973063973,16.161616161616163,48.0,0.54
342,1.0,5.0,149.0,21200.0,27600.0,401.0,276.0,76.81159420289855,15.942028985507244,44.0,0.54
347,1.0,5.0,150.0,22570.0,27900.0,401.0,279.0,80.89605734767025,16.845878136200717,47.0,0.54
352,1.0,5.0,151.0,22410.0,26400.0,401.0,264.0,84.88636363636364,17.045454545454543,45.0,0.54
357,1.0,5.0,152.0,19300.0,23400.0,401.0,234.0,82.47863247863248,17.094017094017094,40.0,0.54
3,1.0,5.0,81.0,170460.0,186300.0,401.0,1863.0,91.4975845410628,12.66774020397209,236.0,0.56
8,1.0,5.0,82.0,167020.0,181300.0,401.0,1813.0,92.12355212355212,12.796469939327082,232.0,0.56
13,1.0,5.0,83.0,159980.0,174900.0,401.0,1749.0,91.4694110920526,12.978845054316752,227.0,0.56
18,1.0,5.0,84.0,155190.0,170500.0,401.0,1705.0,91.02052785923753,13.020527859237538,222.0,0.56
23,1.0,5.0,85.0,149150.0,165000.0,401.0,1650.0,90.39393939393939,13.030303030303031,215.0,0.56
28,1.0,5.0,86.0,148480.0,163800.0,401.0,1638.0,90.64713064713065,13.064713064713066,214.0,0.56
33,1.0,5.0,87.0,143470.0,157400.0,401.0,1574.0,91.14993646759848,13.15120711562897,207.0,0.56
38,1.0,5.0,88.0,142350.0,154500.0,401.0,1545.0,92.13592233009709,13.398058252427184,207.0,0.56
43,1.0,5.0,89.0,137490.0,149100.0,401.0,1491.0,92.2132796780684,13.41381623071764,200.0,0.56
48,1.0,5.0,90.0,135130.0,141800.0,401.0,1418.0,95.29619181946404,13.822284908321581,196.0,0.56
53,1.0,5.0,91.0,128830.0,137500.0,401.0,1375.0,93.69454545454545,13.818181818181818,190.0,0.56
58,1.0,5.0,92.0,130260.0,137300.0,401.0,1373.0,94.87254187909687,13.911143481427532,191.0,0.56
63,1.0,5.0,93.0,119420.0,128200.0,401.0,1282.0,93.15132605304213,13.806552262090483,177.0,0.56
68,1.0,5.0,94.0,119380.0,125100.0,401.0,1251.0,95.42765787370104,14.228617106314948,178.0,0.56
73,1.0,5.0,95.0,118630.0,122500.0,401.0,1225.0,96.84081632653061,14.285714285714285,175.0,0.56
78,1.0,5.0,96.0,114970.0,119100.0,401.0,1191.0,96.53232577665827,14.105793450881613,168.0,0.56
83,1.0,5.0,97.0,115450.0,116600.0,401.0,1166.0,99.01372212692966,14.57975986277873,170.0,0.56
