,pred_8,pred_13,pred_14,pred_21,pred_26,result_com,date,year,month,day,num_date,range_date,season,right_pred,num_pred,money
179,0.0,0.0,0.0,0.0,0.0,13,2020-04-28,2020,4,28,6,7,sp,0,0,1380.0
180,0.0,0.0,0.0,0.0,0.0,51,2020-04-28,2020,4,28,6,7,sp,0,0,8490.0
181,0.0,1.0,1.0,0.0,0.0,11,2020-04-28,2020,4,28,6,7,sp,0,2,2740.0
182,0.0,0.0,0.0,0.0,0.0,6,2020-04-28,2020,4,28,6,7,sp,0,0,730.0
183,0.0,0.0,0.0,0.0,0.0,66,2020-04-28,2020,4,28,6,7,sp,0,0,8830.0
184,0.0,0.0,0.0,0.0,0.0,23,2020-04-28,2020,4,28,6,7,sp,0,0,1200.0
185,0.0,0.0,0.0,0.0,0.0,6,2020-04-28,2020,4,28,6,7,sp,0,0,1480.0
186,0.0,0.0,0.0,0.0,0.0,1,2020-04-28,2020,4,28,6,7,sp,0,0,430.0
187,0.0,1.0,0.0,0.0,0.0,5,2020-04-28,2020,4,28,6,7,sp,0,1,710.0
188,0.0,0.0,0.0,0.0,0.0,5,2020-04-28,2020,4,28,6,7,sp,0,0,500.0
189,0.0,0.0,0.0,0.0,0.0,1,2020-04-29,2020,4,29,7,7,sp,0,0,660.0
190,0.0,0.0,0.0,0.0,1.0,5,2020-04-29,2020,4,29,7,7,sp,0,1,1070.0
191,0.0,0.0,0.0,0.0,0.0,15,2020-04-29,2020,4,29,7,7,sp,0,0,5990.0
192,0.0,0.0,0.0,0.0,0.0,5,2020-04-29,2020,4,29,7,7,sp,0,0,2230.0
193,0.0,0.0,0.0,0.0,0.0,2,2020-04-29,2020,4,29,7,7,sp,0,0,900.0
194,0.0,0.0,0.0,0.0,1.0,90,2020-04-29,2020,4,29,7,7,sp,0,1,20330.0
195,0.0,0.0,0.0,0.0,0.0,18,2020-04-29,2020,4,29,7,7,sp,0,0,1230.0
196,0.0,0.0,0.0,0.0,0.0,49,2020-04-29,2020,4,29,7,7,sp,0,0,3830.0
197,0.0,0.0,0.0,0.0,0.0,27,2020-04-29,2020,4,29,7,7,sp,0,0,33680.0
198,0.0,1.0,1.0,0.0,0.0,5,2020-04-29,2020,4,29,7,7,sp,0,2,700.0
199,0.0,0.0,1.0,0.0,0.0,7,2020-04-29,2020,4,29,7,7,sp,0,1,1340.0
200,0.0,0.0,1.0,0.0,0.0,6,2020-05-07,2020,5,7,1,4,sp,0,1,3600.0
201,0.0,0.0,0.0,0.0,0.0,55,2020-05-07,2020,5,7,1,4,sp,0,0,3880.0
202,0.0,0.0,0.0,0.0,0.0,47,2020-05-07,2020,5,7,1,4,sp,0,0,4910.0
203,0.0,0.0,0.0,0.0,0.0,113,2020-05-07,2020,5,7,1,4,sp,0,0,45470.0
204,0.0,0.0,0.0,0.0,0.0,7,2020-05-07,2020,5,7,1,4,sp,0,0,1760.0
